gene_id	transcript_id	gene_name	gene_type	Promoter	UTR5	CDS	UTR3	Stop Codon	Intron	Transcript	peakDetail	Sample
ENSG00000038219.8	ENST00000040738.5	BOD1L1	protein_coding	0	0	7	0	0	0	7	chr4:13606399-13606498|Locus_2817,chr4:13604349-13604623|Locus_2818,chr4:13603724-13604073|Locus_2819,chr4:13603349-13603523|Locus_2820,chr4:13602549-13602598|Locus_2821,chr4:13600849-13601373|Locus_2822,chr4:13598747-13600723|Locus_2823	group1
ENSG00000040531.10	ENST00000046640.3	CTNS	protein_coding	0	0	1	1	1	0	2	chr17:3563642-3563991|Locus_1416,chr17:3564142-3564291|Locus_1417	group1
ENSG00000041988.11	ENST00000054650.4	THAP3	protein_coding	0	0	1	0	1	0	1	chr1:6693013-6693462|Locus_8136	group1
ENSG00000050327.10	ENST00000056217.5	ARHGEF5	protein_coding	0	0	1	1	0	0	2	chr7:144062295-144062469|Locus_7106,chr7:144077383-144077482|Locus_7107	group1
ENSG00000004897.7	ENST00000066544.3	CDC27	protein_coding	0	0	0	1	1	0	1	chr17:45198011-45198185|Locus_8838	group1
ENSG00000133597.5	ENST00000072869.4	ADCK2	protein_coding	0	0	1	0	0	0	1	chr7:140373628-140374027|Locus_8184	group1
ENSG00000088256.4	ENST00000078429.4	GNA11	protein_coding	0	0	0	1	1	0	1	chr19:3121256-3121305|Locus_3124	group1
ENSG00000060642.6	ENST00000078527.4	PIGV	protein_coding	0	0	2	0	1	0	2	chr1:27121612-27121711|Locus_5178,chr1:27124240-27124514|Locus_5179	group1
ENSG00000061273.13	ENST00000080059.7	HDAC7	protein_coding	0	0	0	1	1	0	1	chr12:48176982-48177456|Locus_4470	group1
ENSG00000069998.8	ENST00000155674.5	CECR5	protein_coding	0	0	0	1	1	0	1	chr22:17618635-17618809|Locus_3123	group1
ENSG00000071282.7	ENST00000157600.3	LMCD1	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSG00000013275.3	ENST00000157812.2	PSMC4	protein_coding	0	0	1	0	0	0	1	chr19:40477112-40478392|Locus_5467	group1
ENSG00000074356.12	ENST00000158149.3	C17orf85	protein_coding	0	0	1	0	0	0	1	chr17:3721586-3721685|Locus_5111	group1
ENSG00000072849.6	ENST00000158771.4	DERL2	protein_coding	0	0	1	0	1	0	1	chr17:5377663-5378012|Locus_4284	group1
ENSG00000074855.6	ENST00000159087.4	ANO8	protein_coding	0	0	1	0	0	0	1	chr19:17435914-17435988|Locus_5752	group1
ENSG00000127663.10	ENST00000159111.4	KDM4B	protein_coding	0	0	0	1	1	0	1	chr19:5151701-5151850|Locus_2151	group1
ENSG00000076826.5	ENST00000160298.4	CAMSAP3	protein_coding	0	0	1	0	0	0	1	chr19:7677498-7677647|Locus_5709	group1
ENSG00000077063.6	ENST00000160373.3	CTTNBP2	protein_coding	0	0	2	0	0	0	2	chr7:117431923-117432047|Locus_7533,chr7:117431223-117431272|Locus_7534	group1
ENSG00000050820.12	ENST00000162330.5	BCAR1	protein_coding	0	0	5	2	2	0	7	chr16:75276769-75276968|Locus_8515,chr16:75272907-75276718|Locus_8516,chr16:75270802-75271160|Locus_8517,chr16:75269828-75269952|Locus_8518,chr16:75263328-75269802|Locus_8519,chr16:75263178-75263227|Locus_8520,chr16:75262953-75263127|Locus_8521	group1
ENSG00000065970.4	ENST00000162391.3	FOXJ2	protein_coding	0	1	0	0	0	0	1	chr12:8185834-8185983|Locus_5280	group1
ENSG00000067182.3	ENST00000162749.2	TNFRSF1A	protein_coding	0	0	1	1	1	0	2	chr12:6438123-6438622|Locus_6620,chr12:6437923-6438022|Locus_6621	group1
ENSG00000066455.8	ENST00000163416.2	GOLGA5	protein_coding	0	0	2	0	0	0	2	chr14:93263826-93264200|Locus_8835,chr14:93273305-93275765|Locus_8836	group1
ENSG00000008300.10	ENST00000164024.4	CELSR3	protein_coding	0	0	3	0	0	0	3	chr3:48697145-48697219|Locus_240,chr3:48696620-48696819|Locus_241,chr3:48677141-48677540|Locus_242	group1
ENSG00000070404.5	ENST00000166139.4	FSTL3	protein_coding	0	0	0	1	1	0	1	chr19:682867-682941|Locus_364	group1
ENSG00000079313.7	ENST00000170168.4	REXO1	protein_coding	0	0	2	0	0	0	2	chr19:1827868-1828367|Locus_88,chr19:1827043-1827642|Locus_89	group1
ENSG00000079999.9	ENST00000171111.5	KEAP1	protein_coding	0	0	1	1	1	0	2	chr19:10600523-10602420|Locus_8714,chr19:10597146-10597295|Locus_8715	group1
ENSG00000067445.16	ENST00000173898.7	TRO	protein_coding	0	0	1	0	1	0	1	chrX:54956894-54957343|Locus_6647	group1
ENSG00000070444.10	ENST00000174618.4	MNT	protein_coding	0	0	2	1	1	0	3	chr17:2298332-2298381|Locus_4027,chr17:2290529-2290628|Locus_4028,chr17:2289704-2290003|Locus_4029	group1
ENSG00000068697.6	ENST00000175091.4	LAPTM4A	protein_coding	0	0	1	0	0	0	1	chr2:20251245-20251344|Locus_8655	group1
ENSG00000072135.8	ENST00000175756.5	PTPN18	protein_coding	0	0	0	2	1	0	2	chr2:131130926-131130975|Locus_2991,chr2:131131051-131131500|Locus_2992	group1
ENSG00000072786.8	ENST00000176763.5	STK10	protein_coding	0	0	1	2	1	0	3	chr5:171510080-171520875|Locus_6497,chr5:171471624-171471773|Locus_6498,chr5:171470574-171470798|Locus_6499	group1
ENSG00000074071.9	ENST00000177742.3	MRPS34	protein_coding	0	0	1	0	1	0	1	chr16:1821896-1822270|Locus_6379	group1
ENSG00000065883.10	ENST00000181839.4	CDK13	protein_coding	0	0	3	0	1	0	3	chr7:39989959-39990433|Locus_7932,chr7:39990984-40027854|Locus_7933,chr7:40133881-40134755|Locus_7934	group1
ENSG00000065308.4	ENST00000182527.3	TRAM2	protein_coding	0	0	0	2	0	0	2	chr6:52366975-52367374|Locus_8610,chr6:52366700-52366824|Locus_8611	group1
ENSG00000065518.7	ENST00000184266.2	NDUFB4	protein_coding	0	0	1	0	0	0	1	chr3:120315228-120315277|Locus_4128	group1
ENSG00000068097.10	ENST00000184956.6	HEATR6	protein_coding	0	0	1	1	2	0	2	chr17:58120952-58121351|Locus_6019,chr17:58120677-58120851|Locus_6020	group1
ENSG00000075568.12	ENST00000186436.5	TMEM131	protein_coding	0	0	2	0	0	0	2	chr2:98409172-98409221|Locus_2583,chr2:98392405-98408946|Locus_2584	group1
ENSG00000154252.11	ENST00000192314.6	GAL3ST2	protein_coding	0	0	1	0	1	0	1	chr2:242743479-242743528|Locus_6050	group1
ENSG00000065060.12	ENST00000192788.5	UHRF1BP1	protein_coding	0	0	2	1	1	0	3	chr6:34826483-34826832|Locus_4826,chr6:34826908-34827332|Locus_4827,chr6:34840222-34840496|Locus_4828	group1
ENSG00000072110.9	ENST00000193403.6	ACTN1	protein_coding	0	0	1	0	0	0	1	chr14:69445729-69445953|Locus_7970	group1
ENSG00000082458.7	ENST00000194900.4	DLG3	protein_coding	0	0	0	1	0	0	1	chrX:69722508-69722582|Locus_1640	group1
ENSG00000083842.8	ENST00000196548.5	ZNF8	protein_coding	0	0	2	0	1	0	2	chr19:58805808-58806182|Locus_6771,chr19:58806483-58806857|Locus_6772	group1
ENSG00000085721.8	ENST00000198767.6	RRN3	protein_coding	0	0	0	1	1	0	1	chr16:15155354-15155553|Locus_4742	group1
ENSG00000087074.7	ENST00000200453.5	PPP1R15A	protein_coding	0	0	2	0	0	0	2	chr19:49376847-49376896|Locus_2650,chr19:49376922-49376971|Locus_2651	group1
ENSG00000088356.4	ENST00000202017.4	PDRG1	protein_coding	0	0	1	1	1	0	2	chr20:30538174-30539735|Locus_7362,chr20:30533183-30533482|Locus_7363	group1
ENSG00000088367.16	ENST00000202028.5	EPB41L1	protein_coding	0	0	1	2	1	0	3	chr20:34797580-34797704|Locus_1837,chr20:34817405-34817504|Locus_1838,chr20:34817530-34817704|Locus_1839	group1
ENSG00000088808.12	ENST00000202556.9	PPP1R13B	protein_coding	0	0	0	1	0	0	1	chr14:104201088-104201137|Locus_2500	group1
ENSG00000089723.5	ENST00000203664.5	OTUB2	protein_coding	0	0	0	2	1	0	2	chr14:94512349-94512498|Locus_6868,chr14:94513299-94513473|Locus_6869	group1
ENSG00000090615.8	ENST00000204726.3	GOLGA3	protein_coding	0	0	2	2	1	0	4	chr12:133384648-133384997|Locus_3133,chr12:133349520-133349844|Locus_3134,chr12:133348295-133348519|Locus_3135,chr12:133347945-133348144|Locus_3136	group1
ENSG00000090863.7	ENST00000205061.5	GLG1	protein_coding	0	0	2	0	1	0	2	chr16:74487051-74487125|Locus_3104,chr16:74485926-74486900|Locus_3106	group1
ENSG00000090971.4	ENST00000205194.4	NAT14	protein_coding	0	0	1	0	0	0	1	chr19:55997786-55997835|Locus_5477	group1
ENSG00000091986.11	ENST00000206423.3	CCDC80	protein_coding	0	0	2	1	1	0	3	chr3:112357835-112359694|Locus_1443,chr3:112357060-112357659|Locus_1444,chr3:112324034-112324233|Locus_1445	group1
ENSG00000076321.6	ENST00000209884.4	KLHL20	protein_coding	0	0	1	0	0	0	1	chr1:173703212-173703411|Locus_3084	group1
ENSG00000095261.9	ENST00000210313.3	PSMD5	protein_coding	0	0	1	0	1	0	1	chr9:123580132-123580331|Locus_5478	group1
ENSG00000035403.12	ENST00000211998.4	VCL	protein_coding	0	0	1	1	0	0	2	chr10:75757893-75776598|Locus_6714,chr10:75878158-75878332|Locus_6715	group1
ENSG00000096717.7	ENST00000212015.6	SIRT1	protein_coding	0	0	0	1	1	0	1	chr10:69676360-69676409|Locus_2548	group1
ENSG00000099203.2	ENST00000214869.2	TMED1	protein_coding	0	0	1	3	2	0	4	chr19:10945947-10946826|Locus_662,chr19:10943205-10943254|Locus_1648,chr19:10943330-10943404|Locus_1649,chr19:10943430-10943479|Locus_1650	group1
ENSG00000099326.4	ENST00000215057.2	MZF1	protein_coding	0	0	0	0	1	0	0	NA	group1
ENSG00000099797.7	ENST00000215567.5	TECR	protein_coding	0	0	1	0	0	0	1	chr19:14655932-14674015|Locus_6549	group1
ENSG00000099800.3	ENST00000215570.3	TIMM13	protein_coding	0	0	1	1	1	0	2	chr19:2427281-2427419|Locus_3000,chr19:2426472-2426821|Locus_3001	group1
ENSG00000099804.4	ENST00000215574.4	CDC34	protein_coding	0	0	1	1	1	0	2	chr19:541543-541792|Locus_8845,chr19:541968-542087|Locus_8846	group1
ENSG00000099812.6	ENST00000215582.6	MISP	protein_coding	0	0	1	0	0	0	1	chr19:757214-757713|Locus_1120	group1
ENSG00000099860.4	ENST00000215631.4	GADD45B	protein_coding	0	0	1	1	0	0	2	chr19:2476223-2476372|Locus_4078,chr19:2477857-2478256|Locus_4079	group1
ENSG00000099949.14	ENST00000215739.8	LZTR1	protein_coding	0	0	0	1	1	0	1	chr22:21351756-21352305|Locus_1422	group1
ENSG00000184436.7	ENST00000215742.4	THAP7	protein_coding	0	0	1	0	1	0	1	chr22:21354061-21354560|Locus_7283	group1
ENSG00000240972.1	ENST00000215754.7	MIF	protein_coding	0	0	1	0	0	0	1	chr22:24236590-24236689|Locus_3984	group1
ENSG00000099992.11	ENST00000215790.7	TBC1D10A	protein_coding	0	0	1	0	1	0	1	chr22:30688209-30688433|Locus_6341	group1
ENSG00000100028.7	ENST00000215829.3	SNRPD3	protein_coding	0	0	1	0	0	0	1	chr22:24952018-24953652|Locus_6396	group1
ENSG00000100104.8	ENST00000215917.7	SRRD	protein_coding	0	0	1	0	1	0	1	chr22:26887508-26887904|Locus_3861	group1
ENSG00000100139.9	ENST00000215957.6	MICALL1	protein_coding	0	0	1	0	1	0	1	chr22:38336796-38337370|Locus_7869	group1
ENSG00000100196.6	ENST00000216014.4	KDELR3	protein_coding	0	0	0	1	0	0	1	chr22:38878848-38879022|Locus_659	group1
ENSG00000100219.12	ENST00000216037.6	XBP1	protein_coding	0	0	0	0	1	0	0	NA	group1
ENSG00000100220.7	ENST00000216038.5	RTCB	protein_coding	0	0	0	1	1	0	1	chr22:32783787-32783936|Locus_4447	group1
ENSG00000100221.6	ENST00000216039.5	JOSD1	protein_coding	0	0	1	1	1	0	2	chr22:39095825-39096074|Locus_8828,chr22:39083573-39083847|Locus_8829	group1
ENSG00000100292.12	ENST00000216117.8	HMOX1	protein_coding	0	0	0	1	1	0	1	chr22:35789618-35789717|Locus_3482	group1
ENSG00000100297.11	ENST00000216122.4	MCM5	protein_coding	0	0	0	1	1	0	1	chr22:35820275-35820495|Locus_3944	group1
ENSG00000100324.9	ENST00000216160.6	TAB1	protein_coding	0	0	1	1	1	0	2	chr22:39826138-39826737|Locus_139,chr22:39826913-39827187|Locus_140	group1
ENSG00000100345.16	ENST00000216181.5	MYH9	protein_coding	0	0	2	1	1	0	3	chr22:36745190-36783948|Locus_4080,chr22:36689521-36690200|Locus_4081,chr22:36678323-36678672|Locus_4082	group1
ENSG00000100376.7	ENST00000216214.3	FAM118A	protein_coding	0	0	0	1	1	0	1	chr22:45736433-45736707|Locus_4901	group1
ENSG00000100395.10	ENST00000216237.5	L3MBTL2	protein_coding	0	0	0	3	1	0	3	chr22:41626337-41626786|Locus_7509,chr22:41626837-41627136|Locus_7510,chr22:41627162-41627275|Locus_7511	group1
ENSG00000100410.3	ENST00000216252.3	PHF5A	protein_coding	0	0	0	1	1	0	1	chr22:41855871-41856245|Locus_7764	group1
ENSG00000100412.11	ENST00000216254.4	ACO2	protein_coding	0	0	2	1	2	0	3	chr22:41924503-41925277|Locus_1626,chr22:41923203-41923602|Locus_1627,chr22:41924728-41924977|Locus_4228	group1
ENSG00000100422.9	ENST00000216264.8	CERK	protein_coding	0	0	0	1	0	0	1	chr22:47082032-47082231|Locus_6210	group1
ENSG00000100425.14	ENST00000216267.8	BRD1	protein_coding	0	0	1	0	0	0	1	chr22:50217237-50217536|Locus_2678	group1
ENSG00000100426.6	ENST00000216268.5	ZBED4	protein_coding	0	0	5	1	2	0	6	chr22:50277391-50277690|Locus_8781,chr22:50278516-50278615|Locus_8782,chr22:50279141-50279265|Locus_8783,chr22:50279666-50279815|Locus_8784,chr22:50280391-50280840|Locus_8785,chr22:50280941-50281065|Locus_8786	group1
ENSG00000090060.13	ENST00000216277.8	PAPOLA	protein_coding	0	0	0	1	1	0	1	chr14:97031448-97031647|Locus_612	group1
ENSG00000080824.14	ENST00000216281.8	HSP90AA1	protein_coding	0	0	1	0	0	0	1	chr14:102552457-102553338|Locus_3536	group1
ENSG00000092201.5	ENST00000216297.2	SUPT16H	protein_coding	0	0	1	0	1	0	1	chr14:21820681-21820930|Locus_756	group1
ENSG00000100473.11	ENST00000216361.4	COCH	protein_coding	0	0	1	0	0	0	1	chr14:31355156-31355380|Locus_1600	group1
ENSG00000100485.7	ENST00000216373.5	SOS2	protein_coding	0	0	1	0	1	0	1	chr14:50585071-50585345|Locus_6416	group1
ENSG00000100532.7	ENST00000216420.7	CGRRF1	protein_coding	0	0	1	0	1	0	1	chr14:55004880-55005129|Locus_546	group1
ENSG00000100580.7	ENST00000216468.7	TMED8	protein_coding	0	0	1	0	1	0	1	chr14:77808001-77808200|Locus_3178	group1
ENSG00000100591.3	ENST00000216479.3	AHSA1	protein_coding	0	0	1	1	0	0	2	chr14:77924498-77926043|Locus_502,chr14:77935629-77935778|Locus_503	group1
ENSG00000100596.2	ENST00000216484.2	SPTLC2	protein_coding	0	0	0	1	1	0	1	chr14:77978365-77978564|Locus_8489	group1
ENSG00000100599.11	ENST00000216487.7	RIN3	protein_coding	0	0	2	0	1	0	2	chr14:93118495-93125604|Locus_7124,chr14:93154596-93155334|Locus_7125	group1
ENSG00000100601.5	ENST00000216489.3	ALKBH1	protein_coding	0	0	0	1	1	0	1	chr14:78139924-78140123|Locus_8030	group1
ENSG00000100625.8	ENST00000216513.4	SIX4	protein_coding	0	0	1	0	0	0	1	chr14:61186649-61186798|Locus_4520	group1
ENSG00000100664.6	ENST00000216554.3	EIF5	protein_coding	0	1	0	0	0	0	1	chr14:103800792-103801229|Locus_1750	group1
ENSG00000100941.4	ENST00000216832.4	PNN	protein_coding	0	0	2	0	1	0	2	chr14:39649942-39650041|Locus_4641,chr14:39650867-39650966|Locus_4642	group1
ENSG00000101138.7	ENST00000217109.4	CSTF1	protein_coding	0	0	1	0	1	0	1	chr20:54978561-54978985|Locus_1382	group1
ENSG00000101160.9	ENST00000217131.5	CTSZ	protein_coding	0	0	1	1	1	0	2	chr20:57582183-57582257|Locus_1451,chr20:57570242-57570616|Locus_1452	group1
ENSG00000101187.11	ENST00000217159.1	SLCO4A1	protein_coding	0	0	2	0	0	0	2	chr20:61288027-61288176|Locus_3150,chr20:61288502-61288551|Locus_3151	group1
ENSG00000185019.12	ENST00000217173.2	UBOX5	protein_coding	0	0	2	0	0	0	2	chr20:3102351-3102650|Locus_2075,chr20:3096084-3102175|Locus_2076	group1
ENSG00000101255.6	ENST00000217233.3	TRIB3	protein_coding	0	0	1	0	1	0	1	chr20:377154-377703|Locus_5762	group1
ENSG00000101311.11	ENST00000217289.4	FERMT1	protein_coding	0	0	0	1	1	0	1	chr20:6057592-6057791|Locus_5156	group1
ENSG00000101400.5	ENST00000217381.2	SNTA1	protein_coding	0	0	0	1	1	0	1	chr20:31995913-31996237|Locus_6399	group1
ENSG00000101421.3	ENST00000217402.2	CHMP4B	protein_coding	0	0	0	1	1	0	1	chr20:32441527-32441576|Locus_1148	group1
ENSG00000101447.9	ENST00000217429.4	FAM83D	protein_coding	0	0	1	0	1	0	1	chr20:37576639-37581301|Locus_7373	group1
ENSG00000101464.6	ENST00000217446.3	PIGU	protein_coding	0	0	0	1	1	0	1	chr20:33148346-33148570|Locus_1149	group1
ENSG00000101608.8	ENST00000217652.3	MYL12A	protein_coding	0	1	0	0	0	0	1	chr18:3247903-3252317|Locus_524	group1
ENSG00000077713.14	ENST00000217909.7	SLC25A43	protein_coding	0	0	0	1	1	0	1	chrX:118587062-118587311|Locus_1833	group1
ENSG00000101846.6	ENST00000217961.4	STS	protein_coding	0	0	1	0	1	0	1	chrX:7268245-7268419|Locus_3912	group1
ENSG00000101986.8	ENST00000218104.3	ABCD1	protein_coding	0	1	1	0	0	0	2	chrX:152990473-152990672|Locus_1914,chrX:152991223-152991497|Locus_1915	group1
ENSG00000085185.11	ENST00000218147.7	BCORL1	protein_coding	0	0	3	1	1	0	4	chrX:129147080-129147529|Locus_5986,chrX:129149005-129149304|Locus_5987,chrX:129149380-129150129|Locus_5988,chrX:129190160-129190359|Locus_5989	group1
ENSG00000102057.5	ENST00000218176.3	KCND1	protein_coding	0	0	1	0	0	0	1	chrX:48826252-48826301|Locus_3711	group1
ENSG00000065057.3	ENST00000219066.1	NTHL1	protein_coding	0	0	1	1	1	0	2	chr16:2096134-2096358|Locus_4193,chr16:2089866-2089915|Locus_4194	group1
ENSG00000006194.6	ENST00000219069.5	ZNF263	protein_coding	0	0	1	0	0	0	1	chr16:3333970-3334044|Locus_296	group1
ENSG00000125149.7	ENST00000219139.3	C16orf70	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSG00000103005.7	ENST00000219281.3	USB1	protein_coding	0	0	0	1	0	0	1	chr16:58054545-58054644|Locus_7008	group1
ENSG00000103044.6	ENST00000219322.3	HAS3	protein_coding	0	0	1	0	1	0	1	chr16:69151962-69152386|Locus_4850	group1
ENSG00000103064.9	ENST00000219343.6	SLC7A6	protein_coding	0	0	1	1	1	0	2	chr16:68331208-68331382|Locus_8160,chr16:68332483-68332857|Locus_8161	group1
ENSG00000103121.4	ENST00000219400.3	CMC2	protein_coding	0	0	0	0	1	0	0	NA	group1
ENSG00000103194.11	ENST00000219473.7	USP10	protein_coding	0	0	1	0	0	0	1	chr16:84778500-84792391|Locus_8193	group1
ENSG00000103199.9	ENST00000219478.6	ZNF500	protein_coding	0	0	1	0	1	0	1	chr16:4801965-4802414|Locus_2897	group1
ENSG00000242612.2	ENST00000219481.5	DECR2	protein_coding	0	0	0	1	0	0	1	chr16:462159-462233|Locus_2908	group1
ENSG00000103326.6	ENST00000219611.2	CAPN15	protein_coding	0	0	0	1	1	0	1	chr16:603644-603693|Locus_6404	group1
ENSG00000103404.10	ENST00000219689.7	USP31	protein_coding	0	0	4	1	0	0	5	chr16:23080278-23080577|Locus_5559,chr16:23079953-23080002|Locus_5560,chr16:23079828-23079877|Locus_5561,chr16:23079728-23079777|Locus_5562,chr16:23078803-23078902|Locus_5563	group1
ENSG00000103485.13	ENST00000219771.7	QPRT	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSG00000103550.9	ENST00000219837.7	KNOP1	protein_coding	0	0	2	0	2	0	2	chr16:19725648-19725797|Locus_3846,chr16:19718124-19722720|Locus_3847	group1
ENSG00000103653.12	ENST00000220003.9	CSK	protein_coding	0	0	0	1	1	0	1	chr15:75094863-75095187|Locus_1298	group1
ENSG00000103966.5	ENST00000220325.4	EHD4	protein_coding	0	0	2	0	1	0	2	chr15:42202056-42211451|Locus_3445,chr15:42192489-42192913|Locus_3446	group1
ENSG00000104142.6	ENST00000220509.5	VPS18	protein_coding	0	0	4	1	2	0	5	chr15:41191428-41191677|Locus_5675,chr15:41191803-41192352|Locus_5676,chr15:41192503-41194953|Locus_5677,chr15:41195154-41195628|Locus_5678,chr15:41195654-41195703|Locus_5679	group1
ENSG00000012232.4	ENST00000220562.4	EXTL3	protein_coding	0	0	0	1	0	0	1	chr8:28608593-28608792|Locus_1911	group1
ENSG00000123908.7	ENST00000220592.5	AGO2	protein_coding	0	0	0	1	1	0	1	chr8:141541839-141542113|Locus_3074	group1
ENSG00000104312.6	ENST00000220751.4	RIPK2	protein_coding	0	0	1	0	1	0	1	chr8:90802408-90802657|Locus_8000	group1
ENSG00000104472.5	ENST00000220913.5	CHRAC1	protein_coding	0	0	1	0	1	0	1	chr8:141525330-141525629|Locus_4639	group1
ENSG00000104524.9	ENST00000220966.6	PYCRL	protein_coding	0	0	1	1	1	0	2	chr8:144687408-144687907|Locus_6337,chr8:144686333-144686582|Locus_6338	group1
ENSG00000137802.9	ENST00000221214.6	MAPKBP1	protein_coding	0	0	3	1	1	0	4	chr15:42116120-42116169|Locus_2132,chr15:42116195-42116691|Locus_2133,chr15:42116767-42117855|Locus_2134,chr15:42118331-42118555|Locus_2135	group1
ENSG00000006712.10	ENST00000221265.3	PAF1	protein_coding	0	0	1	0	1	0	1	chr19:39876495-39876944|Locus_4726	group1
ENSG00000104866.6	ENST00000221462.4	PPP1R37	protein_coding	0	0	0	1	0	0	1	chr19:45649992-45650116|Locus_3215	group1
ENSG00000104969.5	ENST00000221566.2	SGTA	protein_coding	0	0	0	1	0	0	1	chr19:2755112-2755386|Locus_6147	group1
ENSG00000179943.6	ENST00000221665.3	FIZ1	protein_coding	0	0	1	0	1	0	1	chr19:56103387-56103861|Locus_7806	group1
ENSG00000105072.4	ENST00000221671.3	C19orf44	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSG00000105298.9	ENST00000221899.3	CACTIN	protein_coding	0	0	1	0	0	0	1	chr19:3611127-3611701|Locus_5832	group1
ENSG00000105329.5	ENST00000221930.5	TGFB1	protein_coding	0	1	0	0	0	0	1	chr19:41859057-41859556|Locus_6581	group1
ENSG00000105401.2	ENST00000222005.2	CDC37	protein_coding	0	0	1	0	0	0	1	chr19:10506827-10514175|Locus_90	group1
ENSG00000105514.3	ENST00000222120.3	RAB3D	protein_coding	0	0	0	1	0	0	1	chr19:11435697-11435771|Locus_8501	group1
ENSG00000187266.9	ENST00000222139.6	EPOR	protein_coding	0	0	1	0	1	0	1	chr19:11488481-11489105|Locus_1864	group1
ENSG00000105607.8	ENST00000222214.5	GCDH	protein_coding	0	0	0	1	1	0	1	chr19:13010606-13010705|Locus_2990	group1
ENSG00000105647.10	ENST00000222254.8	PIK3R2	protein_coding	0	0	2	0	0	0	2	chr19:18266625-18266899|Locus_434,chr19:18266925-18266999|Locus_435	group1
ENSG00000272333.1	ENST00000222270.7	KMT2B	protein_coding	0	0	3	0	0	0	3	chr19:36212575-36212624|Locus_8666,chr19:36223301-36224025|Locus_8667,chr19:36224051-36224100|Locus_8668	group1
ENSG00000105677.7	ENST00000222284.5	TMEM147	protein_coding	0	0	1	0	0	0	1	chr19:36036827-36037444|Locus_430	group1
ENSG00000105679.4	ENST00000222286.4	GAPDHS	protein_coding	0	0	1	0	1	0	1	chr19:36034092-36036929|Locus_138	group1
ENSG00000105722.5	ENST00000222329.4	ERF	protein_coding	0	0	3	1	2	0	4	chr19:42753667-42753716|Locus_1876,chr19:42753117-42753391|Locus_1877,chr19:42752692-42753016|Locus_1878,chr19:42752467-42752566|Locus_1879	group1
ENSG00000105732.9	ENST00000222339.7	ZNF574	protein_coding	0	0	3	0	1	0	3	chr19:42582780-42582829|Locus_6188,chr19:42583705-42584604|Locus_6189,chr19:42585030-42585720|Locus_6190	group1
ENSG00000105738.6	ENST00000222345.6	SIPA1L3	protein_coding	0	0	4	1	0	0	5	chr19:38572122-38572496|Locus_2238,chr19:38573122-38573221|Locus_2239,chr19:38573447-38573496|Locus_2240,chr19:38610071-38621385|Locus_2241,chr19:38697326-38697675|Locus_2242	group1
ENSG00000033050.3	ENST00000222388.2	ABCF2	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSG00000105849.5	ENST00000222567.5	TWISTNB	protein_coding	0	0	1	0	1	0	1	chr7:19737935-19738159|Locus_1982	group1
