ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
58191	C-X-C motif chemokine ligand 16(CXCL16)	Homo sapiens				GO:0006898~receptor-mediated endocytosis,GO:0006935~chemotaxis,GO:0010818~T cell chemotaxis,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0034097~response to cytokine,GO:0034341~response to interferon-gamma,GO:0034612~response to tumor necrosis factor,GO:0071222~cellular response to lipopolysaccharide,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005041~low-density lipoprotein receptor activity,GO:0005044~scavenger receptor activity,GO:0008009~chemokine activity,	IPR026296:CXC chemokine 16,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,				Cell membrane,Chemotaxis,Complete proteome,Cytokine,Disulfide bond,Glycoprotein,Membrane,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:C-X-C motif chemokine 16,disulfide bond,glycosylation site:N-linked (GlcNAc...),region of interest:Chemokine,sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
404665	CACTIN antisense RNA 1(CACTIN-AS1)	Homo sapiens												Complete proteome,Reference proteome,	chain:Putative uncharacterized protein C19orf29OS,compositionally biased region:Val-rich,
57524	CASK interacting protein 1(CASKIN1)	Homo sapiens				GO:0007165~signal transduction,	GO:0005737~cytoplasm,	GO:0005515~protein binding,	IPR001452:Src homology-3 domain,IPR001660:Sterile alpha motif domain,IPR002110:Ankyrin repeat,IPR011511:Variant SH3,IPR013761:Sterile alpha motif/pointed domain,IPR020683:Ankyrin repeat-containing domain,IPR027013:Caskin,				SM00248:ANK,SM00326:SH3,SM00454:SAM,	3D-structure,ANK repeat,Complete proteome,Cytoplasm,Methylation,Phosphoprotein,Reference proteome,Repeat,SH3 domain,	chain:Caskin-1,compositionally biased region:Pro-rich,domain:SAM 1,domain:SAM 2,domain:SH3,modified residue,region of interest:CASK-binding,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,sequence conflict,
1052	CCAAT/enhancer binding protein delta(CEBPD)	Homo sapiens				GO:0002244~hematopoietic progenitor cell differentiation,GO:0006351~transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0045444~fat cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048839~inner ear development,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,	IPR004827:Basic-leucine zipper domain,IPR016468:CCAAT/enhancer-binding,			PIRSF005879:CCAAT/enhancer-binding protein,	SM00338:BRLZ,	Acetylation,Activator,Complete proteome,DNA-binding,Isopeptide bond,Nucleus,Polymorphism,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,	chain:CCAAT/enhancer-binding protein delta,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO),DNA-binding region:Basic motif,domain:Leucine-zipper,mutagenesis site,sequence conflict,sequence variant,
971	CD72 molecule(CD72)	Homo sapiens				GO:0007155~cell adhesion,GO:0007165~signal transduction,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0004888~transmembrane signaling receptor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0030246~carbohydrate binding,	IPR001304:C-type lectin,IPR016186:C-type lectin-like,IPR016187:C-type lectin fold,	hsa04662:B cell receptor signaling pathway,			SM00034:CLECT,	Coiled coil,Complete proteome,Disulfide bond,Glycoprotein,Lectin,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,	chain:B-cell differentiation antigen CD72,disulfide bond,domain:C-type lectin,glycosylation site:N-linked (GlcNAc...),sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
284106	CDGSH iron sulfur domain 3(CISD3)	Homo sapiens					GO:0005739~mitochondrion,	GO:0046872~metal ion binding,GO:0051537~2 iron, 2 sulfur cluster binding,	IPR018967:Iron sulphur-containing domain, CDGSH-type,				SM00704:ZnF_CDGSH,	2Fe-2S,Acetylation,Complete proteome,Iron,Iron-sulfur,Metal-binding,Mitochondrion,Reference proteome,Transit peptide,	chain:CDGSH iron sulfur domain-containing protein 3, mitochondrial,metal ion-binding site:Iron-sulfur 1 (2Fe-2S),metal ion-binding site:Iron-sulfur 1 (2Fe-2S); via pros nitrogen,metal ion-binding site:Iron-sulfur 2 (2Fe-2S),metal ion-binding site:Iron-sulfur 2 (2Fe-2S); via pros nitrogen,modified residue,transit peptide:Mitochondrion,
1353	COX11, cytochrome c oxidase copper chaperone(COX11)	Homo sapiens				GO:0007585~respiratory gaseous exchange,GO:0008535~respiratory chain complex IV assembly,GO:0009060~aerobic respiration,GO:0033132~negative regulation of glucokinase activity,GO:1902600~hydrogen ion transmembrane transport,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0016021~integral component of membrane,	GO:0004129~cytochrome-c oxidase activity,GO:0005507~copper ion binding,GO:0009055~electron carrier activity,	IPR007533:Cytochrome c oxidase assembly protein CtaG/Cox11,IPR023471:Cytochrome c oxidase assembly protein CtaG/Cox11, domain,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,		PIRSF005413:cytochrome c oxidase assembly protein, COX11 type,		Alternative splicing,Complete proteome,Copper,Membrane,Mitochondrion,Mitochondrion inner membrane,Polymorphism,Proteomics identification,Reference proteome,Transit peptide,Transmembrane,Transmembrane helix,	chain:Cytochrome c oxidase assembly protein COX11, mitochondrial,sequence conflict,sequence variant,topological domain:Mitochondrial intermembrane,topological domain:Mitochondrial matrix,transit peptide:Mitochondrion,transmembrane region,
1399	CRK like proto-oncogene, adaptor protein(CRKL)	Homo sapiens		h_gleevecPathway:Inhibition of Cellular Proliferation by Gleevec,h_il2rbPathway:IL-2 Receptor Beta Chain in T cell Activation,h_integrinPathway:Integrin Signaling Pathway,h_metPathway:Signaling of Hepatocyte Growth Factor Receptor,h_pyk2Pathway:Links between Pyk2 and Map Kinases,		GO:0000186~activation of MAPKK activity,GO:0001568~blood vessel development,GO:0007254~JNK cascade,GO:0007265~Ras protein signal transduction,GO:0007507~heart development,GO:0008284~positive regulation of cell proliferation,GO:0009887~organ morphogenesis,GO:0009952~anterior/posterior pattern specification,GO:0035556~intracellular signal transduction,GO:0048538~thymus development,GO:0060017~parathyroid gland development,GO:0098609~cell-cell adhesion,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,	GO:0005768~endosome,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0070062~extracellular exosome,	GO:0004871~signal transducer activity,GO:0005070~SH3/SH2 adaptor activity,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR000980:SH2 domain,IPR001452:Src homology-3 domain,IPR011511:Variant SH3,	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04015:Rap1 signaling pathway,hsa04062:Chemokine signaling pathway,hsa04510:Focal adhesion,hsa04666:Fc gamma R-mediated phagocytosis,hsa04722:Neurotrophin signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa04910:Insulin signaling pathway,hsa05100:Bacterial invasion of epithelial cells,hsa05131:Shigellosis,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05211:Renal cell carcinoma,hsa05220:Chronic myeloid leukemia,			SM00252:SH2,SM00326:SH3,	3D-structure,Complete proteome,Phosphoprotein,Reference proteome,Repeat,SH2 domain,SH3 domain,	chain:Crk-like protein,domain:SH2,domain:SH3 1,domain:SH3 2,helix,modified residue,strand,
55152	DALR anticodon binding domain containing 3(DALRD3)	Homo sapiens				GO:0006418~tRNA aminoacylation for protein translation,GO:0006420~arginyl-tRNA aminoacylation,		GO:0004812~aminoacyl-tRNA ligase activity,GO:0004814~arginine-tRNA ligase activity,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR008909:DALR anticodon binding,IPR009080:Aminoacyl-tRNA synthetase, class 1a, anticodon-binding,				SM00836:SM00836,	Alternative splicing,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,	chain:DALR anticodon-binding domain-containing protein 3,sequence conflict,sequence variant,splice variant,
64794	DEAD-box helicase 31(DDX31)	Homo sapiens				GO:0010501~RNA secondary structure unwinding,GO:0042254~ribosome biogenesis,	GO:0005730~nucleolus,GO:0005794~Golgi apparatus,GO:0043231~intracellular membrane-bounded organelle,	GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0044822~poly(A) RNA binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR025313:Domain of unknown function DUF4217,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00487:DEXDc,SM00490:HELICc,SM01178:SM01178,	Alternative splicing,ATP-binding,Complete proteome,Helicase,Hydrolase,Methylation,Nucleotide-binding,Nucleus,Polymorphism,Proteomics identification,Reference proteome,RNA-binding,	chain:Probable ATP-dependent RNA helicase DDX31,domain:Helicase ATP-binding,domain:Helicase C-terminal,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,short sequence motif:DEAD box,short sequence motif:Q motif,splice variant,
55760	DEAH-box helicase 32 (putative)(DHX32)	Homo sapiens			DNA replication, recombination, and repair,	GO:0000398~mRNA splicing, via spliceosome,	GO:0005681~spliceosomal complex,GO:0005737~cytoplasm,GO:0005739~mitochondrion,	GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0044822~poly(A) RNA binding,	IPR007502:Helicase-associated domain,IPR011709:Domain of unknown function DUF1605,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00847:SM00847,	Acetylation,Alternative splicing,ATP-binding,Complete proteome,Helicase,Hydrolase,Mitochondrion,Nucleotide-binding,Nucleus,Polymorphism,Proteomics identification,Reference proteome,	chain:Putative pre-mRNA-splicing factor ATP- dependent RNA helicase DHX32,domain:Helicase ATP-binding,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,short sequence motif:DEAH box,splice variant,
373863	DND microRNA-mediated repression inhibitor 1(DND1)	Homo sapiens				GO:0007275~multicellular organism development,GO:0007281~germ cell development,GO:0060965~negative regulation of gene silencing by miRNA,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000166~nucleotide binding,GO:0017091~AU-rich element binding,GO:0035198~miRNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,				SM00360:RRM,	Complete proteome,Cytoplasm,Developmental protein,Nucleus,Reference proteome,Repeat,RNA-binding,	chain:Dead end protein homolog 1,domain:RRM 1,domain:RRM 2,
10311	DSCR3 arrestin fold containing(DSCR3)	Homo sapiens				GO:0006886~intracellular protein transport,	GO:0005634~nucleus,GO:0005768~endosome,	GO:0008565~protein transporter activity,	IPR014756:Immunoglobulin E-set,					Alternative splicing,Complete proteome,Proteomics identification,Reference proteome,	chain:Down syndrome critical region protein 3,modified residue,
